"Purchase Order Report","Detail By Order Number
"Date Type","Order"
"Date Range","01/11/2013 To 21/11/2013"
"Line Item Status","All"
"Stock Category","All"
"Order No","Part Number","Order Date","Supplier No","Supplier Name","Order Qty","Extended Cost","Extended Price","Invoiced Qty","Line Status","Item Due","Part Description"
"5104","F00029","01/11/2013","N200-629","Haydom Shop",20,232,000.00,232,000.00,0,"Completed","01/11/2013","SODA COCA 350mils (Cret)"
"5104","F00189","01/11/2013","N200-629","Haydom Shop",20,214,000.00,214,000.00,0,"Completed","01/11/2013","Soda  Pepsi 350mils (Cret)"
"5105","W33562","01/11/2013","N100-422","Jubilee tyre 2002 ltd",10,540,000.00,540,000.00,0,"Completed","01/11/2013","Cylinder  Gas"
"5106","W320010015","01/11/2013","N200-634","Getamo Shop",3,0.00,1,500.00,3,"Completed","01/11/2013","WASHERS 10 MM"
"5106","W07060","01/11/2013","N200-634","Getamo Shop",4,400.00,2,000.00,4,"Completed","01/11/2013","Washer 3/8\'\'"
"5106","W04115","01/11/2013","N200-634","Getamo Shop",3,1,076.65,12,000.00,3,"Completed","01/11/2013","BOLT 3""
"5106","W07023","01/11/2013","N200-634","Getamo Shop",2,977.27,17,000.00,2,"Completed","01/11/2013","Bolt 1/2 x 2""
"5106","W07064","01/11/2013","N200-634","Getamo Shop",5,4,850.00,1,500.00,5,"Completed","01/11/2013","WASHERS 8//60"
"5106","G14","01/11/2013","N200-634","Getamo Shop",2,769.82,6,000.00,2,"Completed","01/11/2013","BOLT"
"5106","W07006","01/11/2013","N200-634","Getamo Shop",4,15,000.00,1,200.00,4,"Completed","01/11/2013","Flat Washer 3/8"
"5106","W07048","01/11/2013","N200-634","Getamo Shop",2,2,000.00,1,000.00,2,"Completed","01/11/2013","FLAT WASHER 5/16"
"5106","W07021","01/11/2013","N200-634","Getamo Shop",2,1,400.00,24,000.00,2,"Completed","01/11/2013","Bolt 7/16 x 2""
"5106","W32254","01/11/2013","N200-634","Getamo Shop",2,30,000.00,10,000.00,2,"Completed","01/11/2013","BEARING 6207"
"5106","G5","01/11/2013","N200-634","Getamo Shop",3,2,100.00,7,500.00,3,"Completed","01/11/2013","  Bolt No.13"
"5107","W7908","01/11/2013","N200542","Erick General Enterprises ",1,110,000.00,110,000.00,1,"Completed","01/11/2013","Pinion bearing kubwa"
"5107","W7016","01/11/2013","N200542","Erick General Enterprises ",1,0.00,1,300,000.00,1,"Completed","01/11/2013","Gear Kit"
"5107","X05","01/11/2013","N200542","Erick General Enterprises ",1,157,500.00,165,000.00,1,"Completed","01/11/2013","REAR DIFF FLANGE"
"5107","W7907","01/11/2013","N200542","Erick General Enterprises ",1,75,000.00,75,000.00,1,"Completed","01/11/2013","Pinion bearing small"
"5108","W4616","04/11/2013","N200-629","Haydom Shop",15,120,000.00,120,000.00,15,"Completed","04/11/2013","Mbao cypruss 2x6"
"5108","W3088","04/11/2013","N200-629","Haydom Shop",2,9,333.33,8,000.00,2,"Completed","04/11/2013","FLOSCHER"
"5109","GF00070","05/11/2013","N200-629","Haydom Shop",48,114,612.24,78,000.00,48,"Completed","05/11/2013","Red Gold tomato paste"
"5109","F00061","05/11/2013","N200-629","Haydom Shop",24,204,000.00,204,000.00,24,"Completed","05/11/2013","MILK POWDER (NIDO)"
"5109","GF00054","05/11/2013","N200-629","Haydom Shop",45,99,000.00,99,000.00,45,"Completed","05/11/2013","POWDER SOAP (FOMA)"
"5109","F0062","05/11/2013","N200-629","Haydom Shop",36,10,512.00,8,100.00,36,"Completed","05/11/2013","VIJIKO"
"5109","GF00056","05/11/2013","N200-629","Haydom Shop",36,28,500.00,28,476.00,36,"Completed","05/11/2013","TEA LEAVES"
"5110","F00028","05/11/2013","N200-629","Haydom Shop",15,150,000.00,150,000.00,0,"Completed","05/11/2013","KILIMANJARO WATER 1.5lt (pack)"
"5110","F00031","05/11/2013","N200-629","Haydom Shop",15,67,500.00,67,500.00,0,"Completed","05/11/2013","KILIMANJARO WATER 0.5 (pack)"
"5110","F00015","05/11/2013","N200-629","Haydom Shop",12,70,000.00,69,996.00,0,"Completed","05/11/2013","Blueband 1kg"
